,Model,Fold,Prototypes,Dataset,test_RSq,test_Err10,test_SEP
284,RegNG,2,5,CalHousing,0.621769278393297,0.2315891534090042,0.012536591084413585
285,RegSeNG,2,5,CalHousing,0.6140255428716086,0.26138564944267273,0.012498938564017037
286,NGTSP,2,5,CalHousing,0.47604541138861345,0.17514534294605255,0.037018705952085604
287,RNGTSP,2,5,CalHousing,0.6161212338906353,0.24127906560897827,0.011736372036969934
288,RBFNetwork,3,5,CalHousing,0.622700315013663,0.26211240887641907,0.012128063677281213
289,RLVQ,3,5,CalHousing,0.48961848545155745,0.14389534294605255,1.0714875084728128
290,RegNG,3,5,CalHousing,0.20005844145690388,0.2550871968269348,0.010206477029649642
291,RegSeNG,3,5,CalHousing,0.04382141208245432,0.24903100728988647,0.004399607384042447
292,NGTSP,3,5,CalHousing,0.35104217550778416,0.17005814611911774,0.03455136240102763
293,RNGTSP,3,5,CalHousing,0.0739085186092165,0.23909883201122284,0.006527757500593979
294,RBFNetwork,4,5,CalHousing,0.652643159207612,0.2509689927101135,0.012893889688812986
295,RLVQ,4,5,CalHousing,0.5265347899940849,0.1509205400943756,0.8865252080859585
296,RegNG,4,5,CalHousing,0.43284022362683383,0.2562984526157379,0.011692587765536567
297,RegSeNG,4,5,CalHousing,0.5969719784377934,0.2516957223415375,0.011878583723437086
298,NGTSP,4,5,CalHousing,0.3404039123951824,0.15818798542022705,0.043139444591291806
299,RNGTSP,4,5,CalHousing,0.6283627480646519,0.2291666716337204,0.010870263933940222
300,RBFNetwork,0,10,CalHousing,0.6421013037746737,0.24830426275730133,0.012574325736804136
301,RLVQ,0,10,CalHousing,0.47880237266822473,0.14752906560897827,0.8563639278094621
302,RegNG,0,10,CalHousing,0.6248044446384567,0.2475775182247162,0.011104132477457455
303,RegSeNG,0,10,CalHousing,0.6223391617613186,0.24975775182247162,0.011188115596021241
304,NGTSP,0,10,CalHousing,0.5627696551420952,0.21414728462696075,0.015006118584305492
305,RNGTSP,0,10,CalHousing,0.6391653455288736,0.25072672963142395,0.010730209635513101
